
  Year , Kohli Runs, Rohit Sharma Runs , Sehwag Runs 

1   ,  800    ,     700       ,         900         
2   ,  950    ,     850       ,         1000        
3  ,   1100   ,     900       ,         950         
4   ,  1200    ,    1000      ,         1100        
5  ,   1300   ,     1100       ,        1050        
6   ,  200   ,     1050       ,        950         
7   ,  1400   ,     1150       ,        900         
8   ,  1350   ,     100       ,        850         
9   ,  1450   ,     1250        ,       800         
10  ,  1500  ,      1300       ,        75
